GO Term	Fold Change	MEGAN	EggNOG	MetaGOmics	MPA	Prophane	Unipept
diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	57.138	24.242	-	-	-	-
fructuronate reductase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	57.172	-	-	-	-	-
glucuronate isomerase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-0.32 (1 / 1.49)
 	Percentile (%)	57.205	-	-	-	-	79.791
[glutamate-ammonia-ligase] adenylyltransferase activity	FC (WS / NS)	0 (0 / 0)	0 (0 / 0)	-	-	-	0.07 (1 / 0.91)
 	Percentile (%)	57.238	48.937	-	-	-	41.496
holo-[acyl-carrier-protein] synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	0.05 (1.58 / 1.49)
 	Percentile (%)	57.272	-	-	-	-	45.343
isochorismate synthase activity	FC (WS / NS)	0 (0 / 0)	0 (0 / 0)	-	-	-	-0.93 (0 / 0.91)
 	Percentile (%)	57.305	48.985	-	-	-	92.485
lipopolysaccharide 3-alpha-galactosyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	57.339	-	-	-	-	-
mannitol-1-phosphate 5-dehydrogenase activity	FC (WS / NS)	0 (0 / 0)	0 (0 / 0)	-	-	-	1.14 (1 / -0.09)
 	Percentile (%)	57.372	49.033	-	-	-	4.639
mannonate dehydratase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	57.406	-	-	-	-	-
methylglyoxal synthase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	57.439	24.313	-	-	-	-
nitrite reductase [NAD(P)H] activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	0.07 (1 / 0.91)
 	Percentile (%)	57.472	-	-	-	-	41.532
phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	57.506	24.361	-	-	-	-
phosphoribulokinase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	57.539	-	-	-	-	-
tagaturonate reductase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	57.573	-	-	-	-	-
type II site-specific deoxyribonuclease activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-0.93 (0 / 0.91)
 	Percentile (%)	57.606	-	-	-	-	92.521
xylose isomerase activity	FC (WS / NS)	0 (1 / 1)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	57.64	24.409	-	-	-	-
chlorophyllide a oxygenase [overall] activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.141	-	-	-	-	-
glycine amidinotransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.308	-	-	-	-	-
gluconate transmembrane transporter activity	FC (WS / NS)	0 (1 / 1)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	58.342	25.078	-	-	-	-
teichoic acid transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.375	-	-	-	-	-
L-proline transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.409	-	-	-	-	-
nucleobase transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.442	-	-	-	-	-
nucleotide transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.475	-	-	-	-	-
heme transporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-0.54 (1 / 1.91)
 	Percentile (%)	58.509	-	-	-	-	86.911
pantothenate transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.542	-	-	-	-	-
sodium:proton antiporter activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	1.49 (1.81 / 0)	-	-0.93 (0 / 0.91)
 	Percentile (%)	58.576	25.149	-	7.48	-	92.629
nickel-transporting ATPase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.609	-	-	-	-	-
teichoic-acid-transporting ATPase activity	FC (WS / NS)	0 (0 / 0)	-	-	0 (0 / 0)	-	0.14 (0 / -0.09)
 	Percentile (%)	58.643	-	-	44.953	-	31.212
potassium channel regulator activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.676	-	-	-	-	-
formate transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	58.709	25.197	-	-	-	-
iron-chelate-transporting ATPase activity	FC (WS / NS)	0 (0 / 0)	-	-	-1 (0 / 1)	-	0.69 (3.7 / 1.91)
 	Percentile (%)	58.743	-	-	82.789	-	8.99
2-keto-3-deoxygluconate:proton symporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.81	-	-	-	-	-
type III site-specific deoxyribonuclease activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	58.843	-	-	-	-	-
glutamate synthase (ferredoxin) activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	59.244	-	-	-	-	-
nitrogenase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	59.345	-	-	-	-	-
oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor	FC (WS / NS)	0 (9.87 / 9.87)	-	-0.06 (7.34 / 7.67)	-0.05 (11.98 / 12.46)	-0.15 (-5.43 / -5.9)	-0.01 (7.86 / 7.89)
 	Percentile (%)	59.512	-	60.895	57.516	61.213	60.482
cellulose synthase (UDP-forming) activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	59.545	-	-	-	-	-
magnesium chelatase activity	FC (WS / NS)	0 (2 / 2)	-	-	-	-	-
 	Percentile (%)	59.579	-	-	-	-	-
mannan endo-1,4-beta-mannosidase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	59.612	-	-	-	-	-
5-oxoprolinase (ATP-hydrolyzing) activity	FC (WS / NS)	0 (1 / 1)	-	-2.68 (0 / 5.43)	-	-	-
 	Percentile (%)	59.646	-	98.131	-	-	-
carbonyl sulfide nitrogenase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	59.712	-	-	-	-	-
5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	59.746	-	-	-	-	-
arabinogalactan endo-1,4-beta-galactosidase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	61.016	-	-	-	-	-
pigment binding	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	61.083	-	-	-	-	-
maltose alpha-glucosidase activity	FC (WS / NS)	0 (1 / 1)	-	-	-	-	-
 	Percentile (%)	61.451	-	-	-	-	-
choline binding	FC (WS / NS)	0 (0 / 0)	-	0.26 (5.09 / 4.09)	-	-	-0.93 (0 / 0.91)
 	Percentile (%)	61.718	-	18.79	-	-	93.024
formyl-CoA transferase activity	FC (WS / NS)	0 (0 / 0)	-	-	0 (0 / 0)	-	0.13 (2.81 / 2.49)
 	Percentile (%)	61.752	-	-	45.171	-	34.592
4-phosphoerythronate dehydrogenase activity	FC (WS / NS)	0 (2 / 2)	-	-	-	-	-0.18 (4.17 / 4.86)
 	Percentile (%)	61.785	-	-	-	-	75.189
aldehyde dehydrogenase (NADP+) activity	FC (WS / NS)	0 (0 / 0)	2.35 (4.09 / 0)	-	-	-	-
 	Percentile (%)	61.819	0.478	-	-	-	-
kojibiose phosphorylase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	61.852	-	-	-	-	-
ribose 1,5-bisphosphate phosphokinase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	61.886	-	-	-	-	-
cyclic-di-GMP binding	FC (WS / NS)	0 (0 / 0)	-0.14 (6.41 / 7.15)	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	62.053	62.861	-	-	-	32.075
protein-glutamine N-methyltransferase activity	FC (WS / NS)	0 (1.58 / 1.58)	-0.93 (0 / 0.91)	-	-	-	-0.43 (1.58 / 2.49)
 	Percentile (%)	62.187	80.272	-	-	-	84.538
phosphate ion binding	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	62.354	-	-	-	-	-
molybdenum ion transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	62.554	-	-	-	-	-
ribosomal large subunit binding	FC (WS / NS)	0 (2.32 / 2.32)	0.08 (6.04 / 5.69)	-0.16 (5.83 / 6.61)	2.84 (6.15 / 0)	-	0.02 (5.95 / 5.84)
 	Percentile (%)	62.655	35.706	70.684	3.268	-	52.463
3'-5' DNA helicase activity	FC (WS / NS)	0 (0 / 0)	-0.11 (3.46 / 3.81)	-	-	-	-
 	Percentile (%)	62.788	61.715	-	-	-	-
ATP-dependent 3'-5' DNA helicase activity	FC (WS / NS)	0 (0 / 0)	-0.11 (3.46 / 3.81)	-	-0.3 (-0.19 / 0)	-	0.05 (1.58 / 1.49)
 	Percentile (%)	62.822	61.739	-	73.856	-	45.487
alcohol binding	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	62.855	-	-	-	-	-
molybdopterin cofactor binding	FC (WS / NS)	0 (0 / 0)	-1.32 (0 / 1.49)	-0.17 (5.93 / 6.78)	-0.19 (11.83 / 13.62)	-	-0.12 (6.38 / 7.02)
 	Percentile (%)	62.956	85.909	71.274	68.845	-	71.557
ribonuclease M5 activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	63.123	-	-	-	-	-
DNA-7-methylguanine glycosylase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	63.156	-	-	-	-	-
acryloyl-CoA reductase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	63.19	-	-	-	-	-
L-aspartate:fumarate oxidoreductase activity	FC (WS / NS)	0 (0 / 0)	2.06 (3.17 / 0)	-	-	-	1.73 (2 / -0.09)
 	Percentile (%)	63.39	1.433	-	-	-	1.978
geranylgeranyl reductase activity	FC (WS / NS)	0 (1.58 / 1.58)	-	-	-	-	-
 	Percentile (%)	63.591	-	-	-	-	-
S-methyl-5-thioribose-1-phosphate isomerase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	1.14 (1 / -0.09)
 	Percentile (%)	63.791	29.233	-	-	-	5.717
protein-disulfide reductase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	63.959	-	-	-	-	-
2-aminoethylphosphonate-pyruvate transaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-0.32 (1 / 1.49)
 	Percentile (%)	63.992	-	-	-	-	80.87
glycerol-3-phosphate cytidylyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.025	-	-	-	-	-
undecaprenyl-phosphate galactose phosphotransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.059	-	-	-	-	-
N-acylneuraminate-9-phosphate synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.092	-	-	-	-	-
2-dehydro-3-deoxy-L-arabinonate dehydratase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.126	-	-	-	-	-
ATP-dependent NAD(P)H-hydrate dehydratase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	64.159	-	-	-	-	32.362
phenylacetate-CoA ligase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.193	-	-	-	-	-
5-dehydro-2-deoxygluconokinase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.259	-	-	-	-	-
ADP-ribose diphosphatase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	2.51 (4.17 / -0.09)
 	Percentile (%)	64.293	29.544	-	-	-	0.288
cephalosporin-C deacetylase activity	FC (WS / NS)	0 (0 / 0)	-	-	1.49 (1.81 / 0)	-	-
 	Percentile (%)	64.326	-	-	8.061	-	-
erythronolide synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.36	-	-	-	-	-
galactose-6-phosphate isomerase activity	FC (WS / NS)	0 (4.91 / 4.91)	-	2.29 (3.91 / 0)	-	-	2.51 (4.17 / -0.09)
 	Percentile (%)	64.661	-	1.623	-	-	0.324
maltose phosphorylase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.694	-	-	-	-	-
mannitol 2-dehydrogenase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.728	-	-	-	-	-
serine-glyoxylate transaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.761	-	-	-	-	-
nitrous-oxide reductase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.794	-	-	-	-	-
thiaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.828	-	-	-	-	-
nitrite reductase (NO-forming) activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.861	-	-	-	-	-
N-acetylneuraminate synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.895	-	-	-	-	-
thymidylate synthase (FAD) activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	64.995	-	-	-	-	-
quaternary ammonium group binding	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	65.062	-	-	-	-	-
5'-deoxyribose-5-phosphate lyase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	65.296	-	-	-	-	-
isocitrate hydro-lyase (cis-aconitate-forming) activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	65.463	-	-	-	-	-
arabinosyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	65.496	-	-	-	-	-
hydroquinone:oxygen oxidoreductase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	65.563	-	-	-	-	-
DNA-7-methyladenine glycosylase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	65.597	-	-	-	-	-
DNA-3-methylguanine glycosylase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	65.63	-	-	-	-	-
ADP-dependent NAD(P)H-hydrate dehydratase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-2.5 (0 / 4.64)	-	-0.69 (1 / 2.23)
 	Percentile (%)	65.664	30.595	-	88.453	-	89.32
23S rRNA (guanine(2445)-N(2))-methyltransferase activity	FC (WS / NS)	0 (1.58 / 1.58)	-	-	-	-	1.51 (1.58 / -0.09)
 	Percentile (%)	65.697	-	-	-	-	3.164
N-acylphosphatidylethanolamine-specific phospholipase D activity	FC (WS / NS)	0 (0 / 0)	-	-	-0.3 (-0.19 / 0)	-	-0.17 (1.58 / 1.91)
 	Percentile (%)	65.898	-	-	74.51	-	74.613
aromatase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	65.931	-	-	-	-	-
nucleotidyltransferase activity	FC (WS / NS)	0 (16.57 / 16.57)	0.02 (11.03 / 10.88)	0.02 (11.32 / 11.16)	0 (19.77 / 19.82)	-0.06 (-1.58 / -1.6)	0.01 (10.82 / 10.75)
 	Percentile (%)	66.533	44.758	48.352	46.405	53.304	56.419
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	FC (WS / NS)	0 (13.53 / 13.54)	0.33 (8.09 / 6.23)	0.05 (7.62 / 7.32)	0.01 (13.6 / 13.52)	-	0.03 (8.49 / 8.28)
 	Percentile (%)	66.734	15.978	40.63	41.54	-	50.27
catalytic activity, acting on RNA	FC (WS / NS)	0 (16.79 / 16.81)	0.01 (12.3 / 12.26)	0.02 (13.19 / 12.95)	-0.01 (20 / 20.1)	NaN (-0.91 / -1.71)	0.03 (12.22 / 11.96)
 	Percentile (%)	67.001	46.573	45.942	47.64	99.783	51.277
oxo-acid-lyase activity	FC (WS / NS)	0 (10.81 / 10.83)	0.26 (6.19 / 4.99)	-0.32 (6.29 / 8.08)	-1.21 (4.77 / 12.37)	-	-0.35 (5.61 / 7.45)
 	Percentile (%)	67.034	17.793	77.275	83.805	-	82.992
catalytic activity, acting on DNA	FC (WS / NS)	0 (13.3 / 13.32)	0.06 (9.75 / 9.29)	0.03 (9.04 / 8.85)	0.08 (14.84 / 13.94)	-0.3 (-6.33 / -7.54)	0 (9.48 / 9.48)
 	Percentile (%)	67.068	37.545	45.303	25.272	75.298	58.792
lactate dehydrogenase activity	FC (WS / NS)	0 (10.76 / 10.78)	-	0.28 (9.26 / 7.46)	-	-	0.37 (7.91 / 5.91)
 	Percentile (%)	67.101	-	18.249	-	-	16.109
carboxylic ester hydrolase activity	FC (WS / NS)	0 (12.34 / 12.36)	0.06 (8.86 / 8.47)	-	-	-	0.01 (8.79 / 8.72)
 	Percentile (%)	67.135	38.118	-	-	-	55.735
oxidoreductase activity	FC (WS / NS)	0 (21.05 / 21.09)	-0.03 (13.01 / 13.3)	-0.03 (14.71 / 15.05)	-0.03 (19.89 / 20.31)	0.29 (4.94 / 3.84)	0 (13.61 / 13.65)
 	Percentile (%)	67.235	57.631	58.19	51.852	12.676	59.871
nucleic acid binding	FC (WS / NS)	0 (22.18 / 22.24)	-0.03 (13.7 / 13.97)	-0.02 (14.81 / 15.02)	0.03 (24.45 / 23.96)	0.2 (7.53 / 6.4)	-0.01 (13.93 / 14.01)
 	Percentile (%)	67.335	57.177	56.665	37.4	20.26	61.021
catalytic activity, acting on a tRNA	FC (WS / NS)	0 (16.49 / 16.53)	0.01 (11.8 / 11.72)	0.02 (11.48 / 11.34)	-0.04 (17.38 / 17.92)	NaN (-0.95 / -1.77)	0.02 (11.65 / 11.47)
 	Percentile (%)	67.369	46	48.647	54.975	99.892	53.398
oxidoreductase activity, acting on the aldehyde or oxo group of donors	FC (WS / NS)	0 (16.29 / 16.35)	-0.18 (7.74 / 8.93)	-0.06 (12.77 / 13.31)	-0.01 (18.04 / 18.2)	NaN (-0.99 / -1.95)	0 (11.07 / 11.11)
 	Percentile (%)	67.737	64.414	60.846	49.092	97.183	60.23
carboxylic acid binding	FC (WS / NS)	0 (14.86 / 14.91)	0.01 (7.88 / 7.8)	0.02 (10.41 / 10.24)	-0.03 (13.52 / 13.8)	0.06 (-1.67 / -1.64)	0.05 (9.39 / 9.07)
 	Percentile (%)	67.837	45.45	46.778	51.561	40.412	47.177
aminoacyl-tRNA ligase activity	FC (WS / NS)	0 (15.49 / 15.54)	0 (11.05 / 11.04)	-0.01 (9.07 / 9.16)	-0.05 (16.5 / 17.08)	-1.34 (-1.56 / -2.41)	0.02 (11.25 / 11.12)
 	Percentile (%)	67.971	47.17	55.878	56.209	93.608	54.693
sigma factor activity	FC (WS / NS)	-0.01 (7.91 / 7.94)	0 (5.21 / 5.23)	-	0.69 (9.33 / 5.39)	-	-0.03 (6.04 / 6.21)
 	Percentile (%)	68.405	55.338	-	9.949	-	64.617
protein disulfide oxidoreductase activity	FC (WS / NS)	-0.01 (10.85 / 10.9)	-0.18 (2.58 / 3.08)	-	-0.08 (11.26 / 11.97)	0.25 (-6.8 / -5.87)	0.02 (8.23 / 8.09)
 	Percentile (%)	68.439	64.438	-	60.276	14.951	52.751
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	FC (WS / NS)	-0.01 (15.72 / 15.8)	0.08 (8.98 / 8.43)	-0.08 (9.52 / 10.12)	-0.07 (14.69 / 15.52)	0.5 (-2.64 / -2.16)	0.02 (9.68 / 9.54)
 	Percentile (%)	68.506	35.133	62.764	59.695	6.826	53.866
structural molecule activity	FC (WS / NS)	-0.01 (19.47 / 19.57)	0.01 (13.44 / 13.32)	-0.02 (13.31 / 13.52)	-	-	-0.02 (12.57 / 12.72)
 	Percentile (%)	68.539	45.546	57.009	-	-	62.352
structural constituent of ribosome	FC (WS / NS)	-0.01 (18.36 / 18.46)	0.01 (12.43 / 12.31)	-0.02 (12.29 / 12.47)	0.04 (23.67 / 23.02)	0.22 (7.74 / 6.48)	-0.01 (12.52 / 12.62)
 	Percentile (%)	68.673	45.307	56.763	33.551	18.093	61.525
glutamate-tRNA ligase activity	FC (WS / NS)	-0.01 (6.77 / 6.81)	-0.6 (1.58 / 2.91)	-	0.16 (11.66 / 10.33)	-	-0.06 (6.51 / 6.82)
 	Percentile (%)	68.706	73.967	-	17.72	-	66.667
glutamine-tRNA ligase activity	FC (WS / NS)	-0.01 (6.77 / 6.81)	0.27 (4.09 / 3.23)	-	-2.5 (0 / 4.64)	-	0.12 (4.52 / 4.08)
 	Percentile (%)	68.74	17.65	-	88.09	-	34.808
dihydrolipoyllysine-residue succinyltransferase activity	FC (WS / NS)	-0.01 (5.21 / 5.25)	-1.8 (0 / 2.49)	-2.57 (0 / 4.95)	-3.22 (0 / 8.34)	-	-
 	Percentile (%)	69.341	89.706	97.147	94.263	-	-
dihydrolipoyllysine-residue acetyltransferase activity	FC (WS / NS)	-0.01 (5.21 / 5.25)	-0.44 (2 / 3.08)	-	-3.2 (0 / 8.17)	-	-0.1 (4.39 / 4.76)
 	Percentile (%)	69.375	71.34	-	93.972	-	70.011
dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity	FC (WS / NS)	-0.01 (5.21 / 5.25)	-	-	-	-	-
 	Percentile (%)	69.408	-	-	-	-	-
tRNA binding	FC (WS / NS)	-0.01 (14.69 / 14.79)	-0.02 (6.51 / 6.63)	-	-0.01 (19.88 / 20.1)	1.57 (0.92 / -0.35)	-0.01 (10.83 / 10.88)
 	Percentile (%)	69.509	56.986	-	50.109	1.408	60.662
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor	FC (WS / NS)	-0.01 (10.57 / 10.64)	-	-0.34 (6.52 / 8.5)	-0.29 (9.71 / 12.12)	-	-0.35 (5.58 / 7.41)
 	Percentile (%)	69.609	-	78.406	71.895	-	82.92
ribosome binding	FC (WS / NS)	-0.01 (8.14 / 8.2)	-0.01 (8.91 / 8.99)	-	-0.16 (8.9 / 10.09)	-	-0.06 (6.82 / 7.13)
 	Percentile (%)	69.642	55.816	-	67.466	-	66.415
transition metal ion transmembrane transporter activity	FC (WS / NS)	-0.01 (11.46 / 11.55)	-0.86 (2.58 / 5.49)	0.12 (8.11 / 7.38)	-	-	0.06 (7.01 / 6.69)
 	Percentile (%)	69.776	76.761	28.677	-	-	43.833
RNA binding	FC (WS / NS)	-0.01 (19.94 / 20.11)	-0.02 (13.11 / 13.33)	-0.03 (13.95 / 14.24)	0.03 (24.24 / 23.69)	0.23 (6.73 / 5.61)	-0.01 (13.31 / 13.4)
 	Percentile (%)	69.91	56.89	57.895	36.238	17.66	61.129
GTP binding	FC (WS / NS)	-0.01 (15.89 / 16.03)	0.13 (9.07 / 8.2)	-	0.04 (24.26 / 23.54)	0.51 (1.74 / 0.93)	0 (11.64 / 11.67)
 	Percentile (%)	70.144	32.529	-	32.607	6.717	59.655
biotin carboxylase activity	FC (WS / NS)	-0.01 (11.44 / 11.54)	-2.34 (0 / 4.08)	-	-0.91 (2.81 / 6.17)	-0.24 (-4.9 / -5.61)	0.47 (7.81 / 5.36)
 	Percentile (%)	70.211	93.05	-	82.498	69.664	12.945
phosphorelay sensor kinase activity	FC (WS / NS)	-0.01 (9.4 / 9.49)	0.07 (1 / 0.91)	0.37 (5.09 / 3.7)	0.17 (7.32 / 6.39)	0.06 (-10.25 / -9.86)	-0.09 (7.14 / 7.67)
 	Percentile (%)	70.277	36.136	15.494	17.066	39.545	69.723
serine-type peptidase activity	FC (WS / NS)	-0.01 (12.77 / 12.9)	-0.04 (7.5 / 7.74)	-	-	-	-0.03 (8.68 / 8.86)
 	Percentile (%)	70.746	58.538	-	-	-	63.682
iron ion binding	FC (WS / NS)	-0.01 (16.53 / 16.7)	-0.2 (7.28 / 8.48)	-0.03 (10.78 / 11.06)	-	-	-0.04 (10.57 / 10.88)
 	Percentile (%)	70.779	64.891	58.829	-	-	65.336
hydrolase activity, acting on ester bonds	FC (WS / NS)	-0.01 (17.54 / 17.73)	-0.01 (11.54 / 11.67)	0.01 (11.41 / 11.28)	-0.03 (16.46 / 16.8)	-0.63 (-1.96 / -2.49)	0 (10.71 / 10.67)
 	Percentile (%)	70.913	56.174	49.139	51.779	87.649	57.569
phosphorelay response regulator activity	FC (WS / NS)	-0.01 (11.49 / 11.62)	-0.53 (2.32 / 3.81)	-0.13 (5.95 / 6.6)	1.49 (1.81 / 0)	-0.19 (-7.47 / -8.37)	-0.89 (1 / 2.71)
 	Percentile (%)	70.946	72.892	68.913	6.754	65.005	91.334
lyase activity	FC (WS / NS)	-0.02 (19.83 / 20.07)	-0.02 (12.08 / 12.27)	-0.04 (13.55 / 14.01)	0.08 (21.29 / 20.15)	0.11 (2.96 / 2.67)	-0.03 (12.43 / 12.69)
 	Percentile (%)	71.281	56.771	59.911	26.362	33.803	64.006
oxidoreductase activity, acting on other nitrogenous compounds as donors	FC (WS / NS)	-0.02 (11.62 / 11.77)	-0.5 (5.88 / 8.71)	-0.11 (7.96 / 8.69)	-0.04 (11.62 / 12)	-0.02 (-7.36 / -7.46)	0.07 (7.94 / 7.53)
 	Percentile (%)	71.314	72.2	66.798	55.483	50.488	42.611
GTPase activity	FC (WS / NS)	-0.02 (14.57 / 14.76)	0.16 (9.08 / 8.01)	-	0.04 (23.96 / 23.27)	5.74 (0.01 / -0.98)	-0.01 (11.38 / 11.48)
 	Percentile (%)	71.515	20.683	-	32.898	0.108	61.597
phosphoglycerate mutase activity	FC (WS / NS)	-0.02 (9.23 / 9.36)	-0.01 (7.75 / 7.78)	-	-	-	0 (8.01 / 8.03)
 	Percentile (%)	71.949	55.529	-	-	-	60.302
single-stranded DNA binding	FC (WS / NS)	-0.02 (8.24 / 8.37)	-0.01 (6.3 / 6.35)	-	0.17 (12.28 / 10.83)	-0.13 (-5.51 / -5.94)	-0.03 (6.92 / 7.07)
 	Percentile (%)	71.983	55.672	-	17.357	60.022	63.646
phosphoric ester hydrolase activity	FC (WS / NS)	-0.02 (13.8 / 14.01)	-0.07 (8.79 / 9.29)	-0.09 (8.89 / 9.54)	-0.7 (6.35 / 10.96)	-0.06 (-5.04 / -5.2)	-0.14 (7.97 / 8.91)
 	Percentile (%)	72.183	60.353	64.781	81.481	53.196	72.636
enoyl-[acyl-carrier-protein] reductase (NADH) activity	FC (WS / NS)	-0.02 (8.39 / 8.53)	0.15 (7.22 / 6.4)	-	0.07 (12.28 / 11.62)	-0.2 (-5.65 / -6.36)	0.12 (6.92 / 6.28)
 	Percentile (%)	72.25	20.898	-	26.797	66.631	34.951
