GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	FC (WS / NS)	-0.13 (11.07 / 12.17)	0.85 (5.67 / 2.71)	0.12 (5.75 / 5.21)	0.21 (5.88 / 4.95)	-0.24 (-9.49 / -11.06)	0.16 (6.19 / 5.43)
 	Percentile (%)	61.492	12.626	29.618	23.016	69.253	27.87
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity	FC (WS / NS)	-0.13 (11.07 / 12.17)	-0.93 (0 / 0.91)	0.12 (5.75 / 5.21)	0.21 (5.88 / 4.95)	-0.24 (-9.49 / -11.06)	0.16 (6.19 / 5.43)
 	Percentile (%)	61.538	78.817	29.686	23.079	69.543	27.895
glutaconyl-CoA decarboxylase activity	FC (WS / NS)	-0.13 (8.13 / 8.98)	-	0.11 (2.58 / 2.32)	-	-0.15 (-9.2 / -10.11)	-0.31 (6.61 / 8.47)
 	Percentile (%)	61.914	-	30.762	-	61.059	77.093
ferredoxin hydrogenase activity	FC (WS / NS)	-0.13 (10.74 / 11.85)	0 (0 / 0)	0.17 (9.07 / 7.98)	0.17 (7.09 / 6.19)	-0.13 (-7.76 / -8.39)	0.18 (7.15 / 6.19)
 	Percentile (%)	62.101	47.632	26.368	25.365	59.246	26.742
oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor	FC (WS / NS)	-0.13 (10.74 / 11.85)	1 (1 / 0)	0.15 (10.07 / 8.98)	0.15 (8.09 / 7.19)	-0.15 (-6.76 / -7.39)	0.18 (7.15 / 6.19)
 	Percentile (%)	62.148	9.318	27.626	26.286	60.914	26.767
electron transfer activity	FC (WS / NS)	-0.13 (17.07 / 18.81)	-0.24 (6.81 / 8.2)	-0.09 (15.96 / 17.01)	-0.15 (9.41 / 10.57)	0.08 (-2.24 / -2.18)	-0.13 (9.62 / 10.64)
 	Percentile (%)	62.523	61.795	75.715	66.667	35.098	70.226
oxidoreductase activity, acting on a sulfur group of donors	FC (WS / NS)	-0.13 (12.63 / 13.94)	0.18 (9.13 / 7.94)	0.04 (14 / 13.58)	0.02 (10.35 / 10.23)	0.38 (-4.91 / -4.01)	0.08 (9.53 / 8.94)
 	Percentile (%)	62.711	24.243	40.375	48.254	10.08	40
oxidoreductase activity, acting on hydrogen as donor	FC (WS / NS)	-0.13 (10.74 / 11.89)	1.37 (1.58 / 0)	0.12 (11.05 / 10.08)	0.14 (8.67 / 7.77)	-0.06 (-5.99 / -6.19)	0.13 (7.71 / 6.97)
 	Percentile (%)	62.899	5.7	29.595	27.175	51.849	35.739
ribonucleoprotein complex binding	FC (WS / NS)	-0.13 (9.1 / 10.09)	0 (10.1 / 10.08)	0.02 (10.15 / 10)	-0.17 (6.41 / 7.35)	-	-0.03 (7.45 / 7.63)
 	Percentile (%)	62.946	46.312	45.457	67.683	-	62.807
protein-containing complex binding	FC (WS / NS)	-0.13 (9.1 / 10.09)	0 (10.12 / 10.1)	0.02 (10.17 / 10)	0.06 (11.14 / 10.62)	-	-0.03 (7.59 / 7.75)
 	Percentile (%)	62.992	46.234	44.907	38.952	-	62.155
nicotinate-nucleotide diphosphorylase (carboxylating) activity	FC (WS / NS)	-0.14 (7.38 / 8.2)	-	0.08 (5.32 / 5)	-	-	0.01 (5.64 / 5.58)
 	Percentile (%)	63.039	-	34.173	-	-	55.188
nicotinate phosphoribosyltransferase activity	FC (WS / NS)	-0.14 (7.38 / 8.2)	0.84 (5.25 / 2.49)	0.08 (5.32 / 5)	-	-	0.12 (5.61 / 5.08)
 	Percentile (%)	63.086	12.673	34.195	-	-	36.165
metal ion transmembrane transporter activity	FC (WS / NS)	-0.14 (9.24 / 10.3)	-0.27 (5.46 / 6.79)	-0.03 (13.22 / 13.55)	-0.07 (8.35 / 8.82)	-	0 (7.61 / 7.62)
 	Percentile (%)	63.321	62.432	72.282	58.254	-	58.296
[acyl-carrier-protein] S-malonyltransferase activity	FC (WS / NS)	-0.14 (9.8 / 10.91)	0.3 (6.23 / 4.86)	0.01 (6.55 / 6.52)	-	0.38 (-8.95 / -7.1)	0.02 (6.67 / 6.55)
 	Percentile (%)	63.368	20.422	50.881	-	9.862	53.183
S-malonyltransferase activity	FC (WS / NS)	-0.14 (9.8 / 10.91)	0.26 (7.23 / 5.86)	0.01 (7.55 / 7.52)	-	0.4 (-8.63 / -6.78)	0.02 (6.67 / 6.55)
 	Percentile (%)	63.415	21.634	51.11	-	8.92	53.208
malonyltransferase activity	FC (WS / NS)	-0.14 (9.8 / 10.91)	0.24 (7.81 / 6.44)	0 (8.14 / 8.11)	-	0.42 (-8.36 / -6.51)	0.02 (6.67 / 6.55)
 	Percentile (%)	63.462	22.348	51.225	-	8.774	53.233
beta-N-acetylhexosaminidase activity	FC (WS / NS)	-0.14 (0.81 / 1)	-	1.08 (6.58 / 2.58)	-	-	1.03 (5.58 / 2.23)
 	Percentile (%)	63.508	-	8.125	-	-	7.293
ubiquitin-like modifier activating enzyme activity	FC (WS / NS)	-0.14 (0.81 / 1)	-	-	-	-	-
 	Percentile (%)	63.555	-	-	-	-	-
hexosaminidase activity	FC (WS / NS)	-0.14 (0.81 / 1)	-	0.9 (7.58 / 3.58)	1.84 (6.17 / 1)	-	1.03 (5.58 / 2.23)
 	Percentile (%)	63.602	-	12.451	4.571	-	7.318
cobyrinic acid a,c-diamide synthase activity	FC (WS / NS)	-0.14 (0.81 / 1)	-	-0.26 (2 / 2.58)	-	-	0.03 (3 / 2.91)
 	Percentile (%)	63.649	-	81.987	-	-	50.276
polyribonucleotide nucleotidyltransferase activity	FC (WS / NS)	-0.14 (13.3 / 14.77)	-0.14 (6.41 / 7.15)	-0.15 (6.49 / 7.34)	-0.12 (6.58 / 7.25)	0.01 (-9.77 / -9.72)	-0.14 (6.74 / 7.53)
 	Percentile (%)	63.696	58.876	78.759	64.571	44.453	70.476
lipid binding	FC (WS / NS)	-0.15 (11.07 / 12.39)	-0.04 (7.17 / 7.39)	0.02 (10.71 / 10.57)	0.08 (7.5 / 7.07)	-0.05 (-10.19 / -10.51)	0.15 (7.15 / 6.36)
 	Percentile (%)	63.743	54.993	46.532	36.54	51.487	30
diaminopropionate ammonia-lyase activity	FC (WS / NS)	-0.15 (7.14 / 8.02)	-0.11 (4.32 / 4.76)	-0.1 (5.21 / 5.64)	-	0.1 (-8.38 / -7.91)	-0.07 (5.13 / 5.43)
 	Percentile (%)	63.79	58.052	76.402	-	33.067	65.789
aspartate-tRNA ligase activity	FC (WS / NS)	-0.15 (13.1 / 14.67)	0.03 (6.66 / 6.48)	-0.08 (7.92 / 8.4)	-	-	0.03 (7.09 / 6.91)
 	Percentile (%)	63.977	42.274	75.212	-	-	50.877
formate-tetrahydrofolate ligase activity	FC (WS / NS)	-0.16 (7.94 / 8.98)	-0.39 (2.32 / 3.36)	-0.26 (6.73 / 8.28)	-0.31 (5.64 / 7.22)	-	-0.3 (5.81 / 7.41)
 	Percentile (%)	64.071	65.989	82.078	73.81	-	76.617
oxidoreductase activity, acting on NAD(P)H	FC (WS / NS)	-0.16 (12.11 / 13.64)	-0.23 (7.73 / 9.24)	0.04 (13.99 / 13.61)	-0.02 (9.03 / 9.21)	-0.93 (-2.44 / -3.76)	0.07 (8.97 / 8.53)
 	Percentile (%)	64.118	61.609	41.016	54.889	92.676	44.586
ribosome binding	FC (WS / NS)	-0.16 (8.9 / 10.09)	-0.01 (8.91 / 8.99)	-0.01 (8.14 / 8.2)	-	-	-0.06 (6.82 / 7.13)
 	Percentile (%)	64.493	52.865	67.613	-	-	64.762
carboxy-lyase activity	FC (WS / NS)	-0.16 (14.13 / 15.96)	-0.11 (9.15 / 9.97)	-0.04 (14.33 / 14.75)	-0.11 (10.38 / 11.25)	-0.12 (-0.55 / -0.51)	-0.13 (9.67 / 10.7)
 	Percentile (%)	64.54	57.975	72.763	63.016	58.448	70.301
oxidoreductase activity, acting on the CH-CH group of donors	FC (WS / NS)	-0.17 (12.8 / 14.49)	0.06 (9.08 / 8.68)	-0.04 (14.88 / 15.29)	-0.21 (9.72 / 11.38)	-1.69 (-1.51 / -2.64)	-0.17 (9.32 / 10.6)
 	Percentile (%)	64.634	38.841	72.534	69.048	95.141	72.105
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	FC (WS / NS)	-0.17 (11.93 / 13.52)	-0.03 (6.09 / 6.23)	0.13 (10.86 / 9.85)	0.02 (8.76 / 8.6)	0.05 (-10.37 / -10.07)	0.16 (8.57 / 7.56)
 	Percentile (%)	64.681	54.248	29.252	46.063	40.319	27.945
oxidoreductase activity, acting on peroxide as acceptor	FC (WS / NS)	-0.17 (11.03 / 12.54)	0.32 (8.4 / 6.52)	0.05 (10.99 / 10.55)	-1.29 (1 / 3.91)	0.63 (-3.75 / -2.78)	0.04 (8.92 / 8.66)
 	Percentile (%)	64.822	19.553	37.583	87.397	5.729	49.549
transcription factor binding	FC (WS / NS)	-0.17 (9.98 / 11.38)	0.31 (3 / 2.23)	-	-0.28 (6.23 / 7.76)	-	-0.03 (7.14 / 7.29)
 	Percentile (%)	64.962	19.879	-	72.222	-	62.13
iron ion transmembrane transporter activity	FC (WS / NS)	-0.18 (7.66 / 8.78)	-1.27 (1 / 3.81)	-0.29 (6.93 / 8.69)	-1.78 (1 / 5.86)	-	-0.47 (3.46 / 5.19)
 	Percentile (%)	65.009	82.016	82.628	89.524	-	83.81
ferric iron transmembrane transporter activity	FC (WS / NS)	-0.18 (7.66 / 8.78)	-	-0.5 (4 / 6.09)	-2.63 (0 / 5.17)	-	-0.95 (2 / 4.81)
 	Percentile (%)	65.056	-	85.42	96.857	-	93.133
ferric-transporting ATPase activity	FC (WS / NS)	-0.18 (7.66 / 8.78)	-	-0.61 (3 / 5.09)	-2.37 (0 / 4.17)	-	-0.95 (2 / 4.81)
 	Percentile (%)	65.103	-	86.542	93.175	-	93.158
trivalent inorganic cation transmembrane transporter activity	FC (WS / NS)	-0.18 (7.66 / 8.78)	-	-0.46 (4.58 / 6.67)	-2.76 (0 / 5.75)	-	-0.95 (2 / 4.81)
 	Percentile (%)	65.15	-	84.848	98.54	-	93.183
antioxidant activity	FC (WS / NS)	-0.18 (11.17 / 12.8)	0.24 (8.85 / 7.36)	0.06 (13.65 / 13.02)	0.06 (9.46 / 9.06)	0.63 (-3.75 / -2.78)	0.06 (9.54 / 9.12)
 	Percentile (%)	65.385	22.597	35.798	40.476	5.656	45.739
FMN binding	FC (WS / NS)	-0.19 (12.75 / 14.66)	-0.45 (4.25 / 6.15)	-0.13 (12.23 / 13.44)	-0.18 (9.04 / 10.36)	-0.51 (-6.04 / -8.18)	-0.32 (7.12 / 9.11)
 	Percentile (%)	65.713	67.278	77.867	67.841	84.772	80.15
molybdopterin cofactor binding	FC (WS / NS)	-0.19 (11.83 / 13.62)	-1.32 (0 / 1.49)	0 (0 / 0)	-0.17 (5.93 / 6.78)	-	-0.12 (6.38 / 7.02)
 	Percentile (%)	65.76	84.392	61.547	67.524	-	69.825
S-acyltransferase activity	FC (WS / NS)	-0.19 (9.8 / 11.31)	0.16 (8.06 / 7.11)	0 (9.31 / 9.31)	-1.8 (1 / 5.95)	0.42 (-8.36 / -6.51)	0 (6.94 / 6.92)
 	Percentile (%)	65.807	24.786	52.827	89.683	8.702	56.867
aspartate-ammonia ligase activity	FC (WS / NS)	-0.19 (7.79 / 9.06)	0.66 (4.52 / 2.49)	0.08 (4.64 / 4.32)	-	-	0.09 (4.86 / 4.49)
 	Percentile (%)	65.854	13.946	33.303	-	-	38.922
GMP synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	-0.19 (11.7 / 13.53)	-1.72 (1 / 5.61)	0.06 (6.54 / 6.21)	-	-0.34 (-7.55 / -9.31)	0.05 (6.71 / 6.44)
 	Percentile (%)	66.088	88.725	35.569	-	77.955	47.569
dihydrolipoyl dehydrogenase activity	FC (WS / NS)	-0.2 (11.16 / 12.92)	-2.5 (0 / 4.66)	0.17 (7.85 / 6.85)	-	0.04 (-11.37 / -11.07)	0.31 (7.68 / 5.99)
 	Percentile (%)	66.135	93.601	26.047	-	41.334	18.647
ribose phosphate diphosphokinase activity	FC (WS / NS)	-0.2 (10.4 / 12.07)	-2.24 (0 / 3.71)	0.15 (7.17 / 6.38)	0.12 (6.99 / 6.36)	-	0.11 (7.23 / 6.63)
 	Percentile (%)	66.182	92.421	27.672	29.873	-	37.669
diphosphotransferase activity	FC (WS / NS)	-0.2 (10.4 / 12.07)	-0.11 (5 / 5.49)	0.1 (10.05 / 9.33)	0.1 (8.08 / 7.45)	-	0.11 (7.39 / 6.78)
 	Percentile (%)	66.229	57.99	32.044	31.841	-	37.368
phosphoenolpyruvate carboxykinase activity	FC (WS / NS)	-0.21 (13.39 / 15.65)	-0.09 (7.58 / 8.15)	-0.19 (9.06 / 10.47)	-0.18 (7.74 / 8.88)	0.2 (-5.19 / -4.64)	-0.19 (6.98 / 8.09)
 	Percentile (%)	66.323	57.152	79.835	67.746	20.812	73.409
transition metal ion transmembrane transporter activity	FC (WS / NS)	-0.22 (7.66 / 9.06)	-0.86 (2.58 / 5.49)	-0.01 (11.46 / 11.55)	0.12 (8.11 / 7.38)	-	0.06 (7.01 / 6.69)
 	Percentile (%)	66.651	73.459	67.773	29.683	-	45.338
carbon-nitrogen lyase activity	FC (WS / NS)	-0.22 (12.8 / 15.02)	-0.04 (9.16 / 9.43)	-0.1 (13 / 13.97)	-0.12 (9.77 / 10.74)	0.03 (-1.47 / -1.46)	-0.09 (8.83 / 9.44)
 	Percentile (%)	66.886	54.962	76.333	64.889	42.495	67.343
endodeoxyribonuclease activity	FC (WS / NS)	-0.22 (9.94 / 11.71)	0.05 (6.25 / 5.99)	-0.22 (8.82 / 10.4)	-1.26 (1.58 / 5.17)	-	0.14 (6.86 / 6.15)
 	Percentile (%)	66.932	39.944	80.888	87.111	-	35.188
deoxyribonuclease activity	FC (WS / NS)	-0.22 (9.94 / 11.71)	0.13 (7.77 / 7.03)	-0.1 (10.86 / 11.69)	0 (5.98 / 6)	-	0.11 (7.29 / 6.69)
 	Percentile (%)	66.979	33.483	76.425	52.571	-	37.694
acetate kinase activity	FC (WS / NS)	-0.22 (12.83 / 15.08)	-0.98 (2 / 4.91)	-0.16 (7.08 / 8.02)	-0.17 (6.75 / 7.73)	-0.15 (-5.85 / -6.38)	-0.15 (7.16 / 8.07)
 	Percentile (%)	67.026	80.121	79.034	67.651	60.841	70.977
phosphoenolpyruvate carboxykinase (ATP) activity	FC (WS / NS)	-0.22 (13.28 / 15.65)	-0.28 (5.7 / 7.12)	-0.36 (6.64 / 8.8)	-0.4 (5.64 / 7.77)	0.2 (-5.44 / -4.87)	-0.39 (5.83 / 7.94)
 	Percentile (%)	67.073	62.649	83.703	76.73	21.392	81.779
folic acid binding	FC (WS / NS)	-0.23 (9.51 / 11.36)	-	-0.24 (6.78 / 8.21)	-0.35 (5.43 / 7.21)	-0.33 (-6.91 / -8.43)	-0.26 (5.52 / 6.79)
 	Percentile (%)	67.495	-	81.643	75.873	76.722	75.363
modified amino acid binding	FC (WS / NS)	-0.23 (9.51 / 11.36)	-0.32 (1 / 1.49)	-0.12 (9.37 / 10.3)	-0.14 (7.87 / 8.8)	-0.35 (-6.59 / -8.11)	-0.25 (6.11 / 7.47)
 	Percentile (%)	67.542	63.737	77.798	66.095	78.1	75.338
excinuclease ABC activity	FC (WS / NS)	-0.23 (9.81 / 11.71)	-0.54 (2 / 3.36)	-0.16 (5.17 / 5.91)	-	-	0.06 (5.46 / 5.19)
 	Percentile (%)	67.589	69.498	79.194	-	-	45.188
malate dehydrogenase (decarboxylating) (NADP+) activity	FC (WS / NS)	-0.24 (5.98 / 7.26)	-2.41 (0 / 4.3)	0.02 (9.18 / 9.01)	-1.48 (1 / 4.58)	-0.38 (-4.13 / -5.06)	0.11 (6.39 / 5.86)
 	Percentile (%)	67.871	93.306	44.06	88.413	79.84	37.719
serine-type endopeptidase activity	FC (WS / NS)	-0.25 (12.45 / 14.94)	-0.05 (5.75 / 5.97)	0.01 (11.24 / 11.14)	-	-0.28 (-7.51 / -8.91)	0.01 (8.29 / 8.2)
 	Percentile (%)	67.917	55.381	47.906	-	74.257	55.138
polynucleotide adenylyltransferase activity	FC (WS / NS)	-0.25 (6.14 / 7.46)	-0.52 (1.58 / 2.71)	0.19 (5.17 / 4.39)	0.62 (6.04 / 3.58)	-	0.69 (5 / 2.71)
 	Percentile (%)	67.964	68.691	25.04	10.984	-	9.9
tRNA adenylyltransferase activity	FC (WS / NS)	-0.25 (6.14 / 7.46)	-	0.22 (4.58 / 3.81)	0.86 (4.46 / 2)	-	0.77 (4.95 / 2.49)
 	Percentile (%)	68.011	-	23.575	8.254	-	8.997
RNA adenylyltransferase activity	FC (WS / NS)	-0.25 (6.14 / 7.46)	-	0.22 (4.58 / 3.81)	0.69 (5.46 / 3)	-	0.77 (4.95 / 2.49)
 	Percentile (%)	68.058	-	23.644	10	-	9.023
fumarate hydratase activity	FC (WS / NS)	-0.25 (10.21 / 12.31)	0.21 (8.1 / 6.85)	0.18 (10.27 / 8.94)	0.1 (7.21 / 6.67)	-0.23 (-2.71 / -3.01)	0.19 (8.69 / 7.49)
 	Percentile (%)	68.199	23.311	25.589	32.667	67.658	25.965
phosphoribosylformylglycinamidine synthase activity	FC (WS / NS)	-0.26 (4.14 / 5.13)	-1.32 (0 / 1.49)	0.08 (6.61 / 6.21)	-	-	0.09 (5.98 / 5.55)
 	Percentile (%)	68.246	83.274	33.852	-	-	39.198
serine-type peptidase activity	FC (WS / NS)	-0.26 (12.46 / 15.13)	-0.04 (7.5 / 7.74)	-0.01 (12.77 / 12.9)	-	-0.33 (-6.51 / -7.91)	-0.03 (8.68 / 8.86)
 	Percentile (%)	68.293	55.133	68.894	-	76.65	62.206
hydrolase activity, acting on acid phosphorus-nitrogen bonds	FC (WS / NS)	-0.26 (12.46 / 15.13)	-0.03 (8.24 / 8.45)	-0.02 (13.48 / 13.67)	-	-0.36 (-5.92 / -7.33)	-0.03 (8.68 / 8.86)
 	Percentile (%)	68.34	54.527	69.856	-	78.97	62.231
serine hydrolase activity	FC (WS / NS)	-0.26 (12.46 / 15.13)	-0.03 (8.24 / 8.45)	-0.02 (13.48 / 13.67)	-	-0.36 (-5.92 / -7.33)	-0.03 (8.68 / 8.86)
 	Percentile (%)	68.386	54.543	69.879	-	79.043	62.256
ATPase activity, coupled to transmembrane movement of substances	FC (WS / NS)	-0.26 (11.2 / 13.66)	0.05 (11.42 / 11.02)	0.02 (16.63 / 16.38)	0.01 (11.96 / 11.86)	-2.73 (-0.89 / -0.29)	0.04 (9.22 / 8.94)
 	Percentile (%)	68.715	40.565	45.251	49.302	95.939	49.348
primary active transmembrane transporter activity	FC (WS / NS)	-0.27 (11.2 / 13.66)	0.04 (12.22 / 11.85)	0.02 (18.06 / 17.81)	0 (12.34 / 12.32)	-0.59 (0.11 / 0.67)	0.03 (9.28 / 9.07)
 	Percentile (%)	68.809	41.497	46.052	51.397	86.875	51.579
L(+)-tartrate dehydratase activity	FC (WS / NS)	-0.28 (2.14 / 2.81)	-	0.27 (9.67 / 7.82)	0.25 (8.13 / 6.66)	-	0.3 (7.43 / 5.86)
 	Percentile (%)	68.856	-	20.851	19.873	-	19.549
S-adenosylmethionine-dependent methyltransferase activity	FC (WS / NS)	-0.29 (6.47 / 8.11)	0.3 (8.4 / 6.62)	0.06 (12.69 / 12.14)	0.29 (8.7 / 6.95)	-0.06 (-5.88 / -6.1)	0.1 (7.75 / 7.13)
 	Percentile (%)	68.902	20.453	36.805	18.698	52.719	38.145
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor	FC (WS / NS)	-0.29 (9.71 / 12.12)	2 (3 / 0)	-0.01 (10.57 / 10.64)	-0.34 (6.52 / 8.5)	-0.52 (-4.41 / -5.88)	-0.35 (5.58 / 7.41)
 	Percentile (%)	68.996	1.662	67.59	75.302	84.917	81.203
ammonia-lyase activity	FC (WS / NS)	-0.29 (11.4 / 14.19)	-0.06 (8.02 / 8.42)	-0.14 (11.39 / 12.69)	-0.2 (8.42 / 9.84)	0.17 (-2.57 / -2.4)	-0.17 (7.85 / 8.94)
 	Percentile (%)	69.043	56.204	78.347	68.857	24.148	72.13
dipeptidase activity	FC (WS / NS)	-0.29 (8.26 / 10.36)	1.93 (2.81 / 0)	-0.03 (11.26 / 11.48)	0.92 (6.19 / 2.81)	0.23 (-10.86 / -9.38)	0.09 (8.17 / 7.64)
 	Percentile (%)	69.09	2.081	71.481	7.81	16.679	39.674
carbamate kinase activity	FC (WS / NS)	-0.3 (8.04 / 10.12)	-2.37 (0 / 4.15)	-0.12 (5.93 / 6.52)	-	0.13 (-10.53 / -9.72)	-0.09 (6.38 / 6.84)
 	Percentile (%)	69.137	93.167	77.363	-	29.224	67.368
rRNA (adenine-N6,N6-)-dimethyltransferase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.84 (3.46 / 1.49)	0.86 (3.7 / 1.58)	0.9 (3.81 / 1.58)	-	-0.06 (4 / 4.23)
 	Percentile (%)	69.231	12.642	12.634	7.968	-	65.263
1,4-alpha-glucan branching enzyme activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-1.97 (0 / 2.91)	-0.08 (4.32 / 4.64)	-	-	-0.01 (4.52 / 4.55)
 	Percentile (%)	69.278	90.48	75.486	-	-	59.724
DNA ligase (ATP) activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	-0.46 (2.32 / 3.58)	-	-	-0.54 (2.81 / 4.55)
 	Percentile (%)	69.325	-	84.871	-	-	86.516
L-alanine:2-oxoglutarate aminotransferase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.6 (5.17 / 3.08)	-	0.61 (5.36 / 3.17)	-	0.53 (5.49 / 3.49)
 	Percentile (%)	69.371	15.049	-	11.143	-	12.13
argininosuccinate lyase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-0.93 (0 / 0.91)	0.61 (3.58 / 2)	-	-	0.37 (3.17 / 2.23)
 	Percentile (%)	69.418	74.515	14.328	-	-	17.293
3',5'-cyclic-nucleotide phosphodiesterase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	-	-	-	-
 	Percentile (%)	69.465	-	-	-	-	-
3',5'-cyclic-AMP phosphodiesterase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	-	-	-	-
 	Percentile (%)	69.512	-	-	-	-	-
imidazoleglycerol-phosphate dehydratase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	-	-	-	-
 	Percentile (%)	69.559	-	-	-	-	-
methenyltetrahydrofolate cyclohydrolase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	1.58 (2 / 0)	-0.37 (4.7 / 6.39)	-0.24 (6.02 / 7.29)	-	0.2 (4.64 / 3.91)
 	Percentile (%)	69.606	3.541	84.047	70.222	-	24.712
phospholipase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.07 (1 / 0.91)	-2.11 (0 / 3.32)	-2.11 (0 / 3.32)	-0.01 (-7.11 / -7.15)	-0.66 (3 / 5.33)
 	Percentile (%)	69.653	36.791	96.956	90.762	47.136	87.794
phosphoribosylglycinamide formyltransferase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	0 (0 / 0)	-	-	-0.89 (1 / 2.71)
 	Percentile (%)	69.7	-	54.566	-	-	90.727
uridine kinase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.14 (0 / -0.09)	0.09 (8.48 / 7.92)	-	-	-2.27 (0 / 3.81)
 	Percentile (%)	69.747	26.169	33.051	-	-	99.273
dTDP-glucose 4,6-dehydratase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.24 (4.58 / 3.71)	-0.03 (4.58 / 4.7)	-	-	0.06 (5.04 / 4.81)
 	Percentile (%)	70.075	22.239	71.893	-	-	45.89
1-phosphofructokinase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	2.52 (4.75 / 0)	2.63 (5.17 / 0)	-	2.81 (5.36 / -0.09)
 	Percentile (%)	70.122	-	0.435	0.603	-	0.05
N-acetylneuraminate lyase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-1.32 (0 / 1.49)	-	-	0.07 (-10.85 / -10.38)	0.15 (2.58 / 2.23)
 	Percentile (%)	70.169	83.709	-	-	35.823	28.897
[isocitrate dehydrogenase (NADP+)] kinase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	70.216	-	-	-	-	31.754
rRNA (adenine-N6-)-methyltransferase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	0.67 (4.7 / 2.58)	0.7 (4.81 / 2.58)	-	0.78 (4 / 1.91)
 	Percentile (%)	70.263	-	14.031	9.968	-	8.697
lipase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.05 (1.58 / 1.49)	0.15 (4.81 / 4.25)	-1.43 (1 / 4.39)	-0.01 (-6.7 / -6.73)	-0.66 (3 / 5.33)
 	Percentile (%)	70.356	39.494	27.878	88.222	47.208	87.82
phosphorus-oxygen lyase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-1.7 (1 / 5.49)	0.06 (8.39 / 8.01)	-	-	-0.16 (4.17 / 4.76)
 	Percentile (%)	70.403	88.709	36.667	-	-	71.253
nucleoside kinase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	1.07 (3 / 0.91)	0.08 (9.93 / 9.38)	-	-	-1.22 (1.58 / 5.03)
 	Percentile (%)	70.45	7.734	34.264	-	-	94.461
cyclohydrolase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.03 (3.46 / 3.36)	-0.11 (8.84 / 9.64)	-0.18 (7.46 / 8.58)	-	0 (5.98 / 5.99)
 	Percentile (%)	70.497	42.895	77.134	68	-	58.797
precorrin-2 C20-methyltransferase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	0.11 (4.09 / 3.7)	-	-	0.14 (4.09 / 3.61)
 	Percentile (%)	70.591	-	30.304	-	-	30.15
ATP-dependent 3'-5' DNA helicase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-0.11 (3.46 / 3.81)	0 (0 / 0)	-	-	0.05 (1.58 / 1.49)
 	Percentile (%)	70.826	57.757	61.433	-	-	46.917
phosphoribosylglycinamide formyltransferase 2 activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	-	-	-	-
 	Percentile (%)	70.872	-	-	-	-	-
2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.65 (2 / 0.91)	0.16 (3 / 2.58)	-	-	0.39 (2.81 / 1.91)
 	Percentile (%)	70.966	14.505	26.917	-	-	16.717
alanine-oxo-acid transaminase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	0.5 (6.17 / 4.08)	-	0.51 (6.36 / 4.17)	-	0.53 (5.49 / 3.49)
 	Percentile (%)	71.013	15.81	-	12.222	-	12.155
pullulanase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	1.37 (1.58 / 0)	0.43 (5.32 / 3.7)	-	0.44 (1.58 / 0.91)
 	Percentile (%)	71.06	-	7.164	13.746	-	14.862
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	0.86 (3.7 / 1.58)	0.9 (3.81 / 1.58)	-	0.78 (4 / 1.91)
 	Percentile (%)	71.154	-	12.657	8	-	8.772
molybdopterin-synthase adenylyltransferase activity	FC (WS / NS)	-0.3 (-0.19 / 0)	-	-	-	-	-
